Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	Upstream deep percolation ratio
0	580	BEST	            -5477.48		    0.181624	    0.262096	    0.662124	         0.5	   0.0274112	    0.398987	         0.5	   0.0302352	     0.66405
1	1062	OK	            -5477.48		    0.206004	    0.261922	    0.714143	    0.496913	   0.0250691	    0.379818	         0.5	   0.0300401	    0.698408
2	1602	OK	            -5477.48		    0.166073	    0.262527	    0.619127	         0.5	   0.0277976	    0.411703	         0.5	   0.0299428	    0.653155
3	2220	OK	             -5477.5		   0.0219376	    0.960811	    0.726788	    0.493113	    0.105127	   0.0552553	         0.5	   0.0221631	   0.0388484
4	2751	OK	            -5477.48		    0.129181	    0.260228	    0.732089	    0.479264	   0.0360764	    0.376923	         0.5	   0.0350835	     0.62449
5	3290	OK	            -5477.53		     0.12675	    0.894676	    0.739477	    0.465998	   0.0483491	    0.275383	         0.5	   0.0281782	    0.622755
6	3791	OK	            -5477.52		    0.175474	    0.759042	    0.582941	         0.5	   0.0369858	    0.332605	         0.5	   0.0250169	    0.704095
7	4630	OK	            -5477.48		    0.185405	    0.262752	    0.641426	         0.5	    0.025888	    0.403461	         0.5	   0.0289914	     0.67148
8	5238	BEST	            -5477.48		    0.182832	    0.261853	    0.662478	         0.5	   0.0286054	    0.398981	         0.5	   0.0308935	    0.664968
9	5846	OK	            -5477.53		    0.165534	    0.656885	    0.644095	    0.450795	   0.0350917	    0.306916	         0.5	   0.0224825	    0.843155
