,date,color -- streamlit-generated,value -- streamlit-generated
151,2023-06-01T00:00:00.000,model,44710753.24748022
152,2023-06-02T00:00:00.000,model,26137930.611299697
153,2023-06-03T00:00:00.000,model,8519628.123443887
154,2023-06-04T00:00:00.000,model,3790473.814455267
155,2023-06-05T00:00:00.000,model,1760966.720792056
156,2023-06-06T00:00:00.000,model,38208951.02241407
157,2023-06-07T00:00:00.000,model,14912514.490341887
158,2023-06-08T00:00:00.000,model,46126924.59426269
159,2023-06-09T00:00:00.000,model,18406249.361189183
160,2023-06-10T00:00:00.000,model,8716391.403249735
161,2023-06-11T00:00:00.000,model,3643628.10788526
162,2023-06-12T00:00:00.000,model,1653282.7539992812
163,2023-06-13T00:00:00.000,model,779856.9559874996
164,2023-06-14T00:00:00.000,model,376094.8839753774
165,2023-06-15T00:00:00.000,model,4664638.034342856
166,2023-06-16T00:00:00.000,model,1426666.3453403218
167,2023-06-17T00:00:00.000,model,616663.5917704543
168,2023-06-18T00:00:00.000,model,282112.1241376167
169,2023-06-19T00:00:00.000,model,130818.67825726491
170,2023-06-20T00:00:00.000,model,61876.27357500962
171,2023-06-21T00:00:00.000,model,41883234.107593946
172,2023-06-22T00:00:00.000,model,17293613.72848278
173,2023-06-23T00:00:00.000,model,6530184.394799922
174,2023-06-24T00:00:00.000,model,2844021.7269030353
175,2023-06-25T00:00:00.000,model,54362295.01659317
176,2023-06-26T00:00:00.000,model,28159825.379959658
177,2023-06-27T00:00:00.000,model,44192176.006728925
178,2023-06-28T00:00:00.000,model,27976309.190554194
179,2023-06-29T00:00:00.000,model,53739327.62314838
180,2023-06-30T00:00:00.000,model,233612894.29118657
181,2023-07-01T00:00:00.000,model,144304862.08332357
182,2023-07-02T00:00:00.000,model,104343502.46098343
183,2023-07-03T00:00:00.000,model,375220270.33418626
184,2023-07-04T00:00:00.000,model,147115031.1020678
185,2023-07-05T00:00:00.000,model,88396901.26288244
186,2023-07-06T00:00:00.000,model,34799807.53295855
187,2023-07-07T00:00:00.000,model,62770961.70420532
188,2023-07-08T00:00:00.000,model,40104534.8693343
189,2023-07-09T00:00:00.000,model,149012708.34688792
190,2023-07-10T00:00:00.000,model,323105977.56954783
191,2023-07-11T00:00:00.000,model,140860397.8311585
192,2023-07-12T00:00:00.000,model,183615529.44917792
193,2023-07-13T00:00:00.000,model,90402153.61286351
194,2023-07-14T00:00:00.000,model,38662792.84275258
195,2023-07-15T00:00:00.000,model,21736964.909006417
196,2023-07-16T00:00:00.000,model,8840305.20720024
197,2023-07-17T00:00:00.000,model,4024320.1033591516
198,2023-07-18T00:00:00.000,model,4875357.674454043
199,2023-07-19T00:00:00.000,model,30957766.722723488
200,2023-07-20T00:00:00.000,model,11703008.614409208
201,2023-07-21T00:00:00.000,model,4645586.259223318
202,2023-07-22T00:00:00.000,model,2050797.49429273
203,2023-07-23T00:00:00.000,model,939333.3559791726
204,2023-07-24T00:00:00.000,model,5638106.179665002
205,2023-07-25T00:00:00.000,model,431465.02978795505
206,2023-07-26T00:00:00.000,model,943145.4861352384
207,2023-07-27T00:00:00.000,model,314474.28236031666
208,2023-07-28T00:00:00.000,model,139008.7916027701
209,2023-07-29T00:00:00.000,model,63589.22585922184
210,2023-07-30T00:00:00.000,model,29801.19606317805
211,2023-07-31T00:00:00.000,model,14195.328688605048
