day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
61,5208765934.639524,40590216.41324707,10861749.721843,12263718.018704306,13033855.123463158,0.0,0.0,0.0
62,5208763427.525373,40774172.18352763,3128570.862482,8853422.787619036,7426667.326026402,0.0,0.0,0.0
63,5208760920.411222,40906973.52534192,1718852.3856379995,5909138.506138562,4594175.379870353,0.0,0.0,0.0
64,5208758413.297071,40995610.602933995,1223815.405061,4002727.244818877,3063283.904825301,0.0,0.0,0.0
65,5208755906.1829195,41055651.511606276,62781.01422417001,2021228.5033632563,1253764.8451213029,0.0,0.0,0.0
66,5208753399.068769,41085969.939156726,6956338.5068500005,7082556.122447996,7751568.082506798,0.0,0.0,0.0
67,5208750891.954618,41192208.28099345,31164012.44942,30819364.66857565,34659648.17529005,0.0,0.0,0.0
68,5208748384.8404665,41654498.751022086,8008549.400265645,18014322.09304911,16401671.915918898,0.0,0.0,0.0
69,5208745877.7263155,41924713.58241782,5369252.532768,13674057.225935206,11704779.995647315,0.0,0.0,0.0
70,5208743370.6121645,42129824.44080685,35397690.53247,37816155.68645294,40991773.5739135,0.0,0.0,0.0
71,5208740863.4980135,42697066.776103646,15159860.004003584,26664300.688961465,25346772.41262575,0.0,0.0,0.0
72,5208738356.3838625,43097031.28643807,223884.4764277134,13320394.688854152,9250834.149433114,0.0,0.0,0.0
73,5208735849.2697115,43296837.20677088,10842331.739599999,16108792.226398326,15245698.162586398,0.0,0.0,0.0
74,5208733342.1555605,43538469.09016686,29239240.7494,33637287.60033955,35466248.34363964,0.0,0.0,0.0
75,5208730835.0414095,44043028.40417195,22884319.48249084,32955369.87400087,32769753.65779833,0.0,0.0,0.0
76,5208728327.9272585,44537358.95228197,3712581.130272988,17492130.54205919,18210868.981517226,0.0,0.0,0.0
77,5208725820.813107,40346005.015184656,242851.6420537997,8925797.258409252,5833919.168606936,0.0,0.0,0.0
78,5208723313.698956,40479891.974060796,2728212.3259679996,6820860.206180619,5402238.337573754,0.0,0.0,0.0
79,5208720806.5848055,40582204.87715351,12903479.737999998,14676275.404353712,15384521.320747595,0.0,0.0,0.0
80,5208718299.4706545,40802349.00821882,35800587.78882,38667099.824903995,41983989.63404925,0.0,0.0,0.0
81,5208715792.356503,41382355.505592376,10327297.493688423,22747456.797838762,20631163.233350255,0.0,0.0,0.0
