Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	"Water-holding Capacity of Forest"	Upstream deep percolation ratio
0	362	BEST	            -2266.33		   0.0599076	        0.01	    0.984821	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
1	907	BEST	             -2265.5		    0.054634	        0.01	    0.664049	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
3	1423	BEST	             -2265.3		   0.0553203	        0.01	    0.197817	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
6	1777	OK	            -2266.33		   0.0596734	        0.01	    0.984414	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
7	2283	OK	            -2265.34		   0.0520471	        0.01	    0.246416	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
9	2615	OK	            -2294.21		   0.0450742	    0.874566	    0.669108	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
