Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	"Water-holding Capacity of Forest"	Upstream deep percolation ratio
0	848	BEST	            -2838.95		    0.385947	   0.0209817	       0.967	    0.219728	     0.12034	        0.01	    0.196922	    0.151471	         250	   0.0356956
1	968	OK	            -2839.21		    0.265712	    0.134174	    0.706574	    0.371577	    0.119818	    0.248351	      0.0747	   0.0643388	      221.05	    0.945356
3	1140	OK	             -2839.5		    0.362775	   0.0275341	    0.237549	    0.492118	    0.222312	    0.533012	    0.106918	    0.375561	     156.554	    0.543982
6	1356	BEST	            -2838.66		    0.243246	   0.0261398	    0.936959	    0.322732	    0.275572	    0.475379	    0.119704	    0.293538	     241.014	    0.631308
7	1509	OK	             -2839.8		    0.280385	    0.141716	    0.204089	    0.399596	         0.5	    0.287581	   0.0134676	    0.215856	     235.282	    0.848542
9	2021	OK	            -2841.66		    0.179418	    0.874566	        0.01	    0.404767	    0.048988	        0.01	         0.5	        0.01	         250	        0.99
