Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	"Water-holding Capacity of Forest"	Upstream deep percolation ratio
0	1430	BEST	            -18.7593		   0.0270484	   0.0446371	        0.99	    0.303752	    0.251362	    0.141604	    0.191405	   0.0620332	     157.484	    0.922893
1	2805	OK	            -23.4653		   0.0137551	   0.0617017	    0.630274	    0.346345	   0.0880615	    0.210375	    0.266056	   0.0263117	     224.614	        0.99
3	3451	OK	            -23.5558		   0.0344818	   0.0338595	    0.977978	    0.121771	         0.5	    0.205323	     0.13057	        0.01	     169.089	        0.99
6	4500	OK	            -27.5195		    0.335846	        0.01	    0.965661	    0.336543	         0.5	        0.01	   0.0512523	        0.01	     241.014	   0.0251787
7	5191	OK	            -20.1625		   0.0221917	   0.0457137	    0.729373	    0.254887	    0.325741	    0.210524	    0.126665	        0.01	     189.287	        0.99
9	6169	OK	            -63.2946		   0.0250551	    0.874566	    0.700737	    0.385394	    0.177999	        0.01	         0.5	   0.0326082	     151.915	    0.300506
