Start	Simulations	Message	PAYOFF	Upstream outflow ratio	Downstream outflow ratio	Direct discharge ratio	Upstream percolation ratio	Downstream deep percolation ratio	Upstream middle flow ratio	Downstream percolation ratio	Downstream middle flow ratio	"Water-holding Capacity of Forest"	Upstream deep percolation ratio
0	489	BEST	            -25620.6		   0.0596403	        0.01	    0.984414	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
1	896	BEST	              -23465		   0.0494037	        0.01	    0.731809	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
3	1337	BEST	            -23057.6		   0.0592526	        0.01	    0.237185	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
6	1793	OK	            -25607.6		   0.0597777	        0.01	    0.984797	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
7	2278	BEST	            -22998.7		   0.0580421	        0.01	    0.193384	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
9	2647	OK	            -96636.9		   0.0505408	    0.874566	    0.674163	         0.5	         0.5	        0.01	         0.5	        0.01	         250	        0.99
